cycle,time,well,row,col,temperature,strain,inducer_ID,inducer_conc,effector_ID,effector_conc,replicate,OD,FL
1,0,A1,1,1,30,BS01,Nar,0,b-Ala,0,1,0.46,3200
1,0,A2,1,2,30,BS01,Nar,4,b-Ala,0,1,0.469,2490
1,0,A3,1,3,30,BS01,Nar,10,b-Ala,0,1,0.495,2404
1,0,A4,1,4,30,BS01,Nar,20,b-Ala,0,1,0.594,1710
1,0,A5,1,5,30,BS01,Nar,60,b-Ala,0,1,0.602,1094
1,0,A6,1,6,30,medium,Nar,0,b-Ala,0,1,0.166,227
1,0,A7,1,7,30,medium,Nar,60,b-Ala,0,1,0.349,164
1,0,B1,2,1,30,BS01,Nar,0,b-Ala,0,2,1.064,10496
1,0,B2,2,2,30,BS01,Nar,4,b-Ala,0,2,1.056,9200
1,0,B3,2,3,30,BS01,Nar,10,b-Ala,0,2,1.098,5859
1,0,B4,2,4,30,BS01,Nar,20,b-Ala,0,2,1.203,8969
1,0,B5,2,5,30,BS01,Nar,60,b-Ala,0,2,1.033,3659
1,0,B6,2,6,30,medium,Nar,0,b-Ala,0,2,0.155,162
1,0,B7,2,7,30,medium,Nar,60,b-Ala,0,2,0.318,224
1,0,C1,3,1,30,BS01,Nar,0,b-Ala,0,3,0.399,2692
1,0,C2,3,2,30,BS01,Nar,4,b-Ala,0,3,0.601,4132
1,0,C3,3,3,30,BS01,Nar,10,b-Ala,0,3,0.612,2236
1,0,C4,3,4,30,BS01,Nar,20,b-Ala,0,3,0.635,1706
1,0,C5,3,5,30,BS01,Nar,60,b-Ala,0,3,0.621,1211
1,0,C6,3,6,30,medium,Nar,0,b-Ala,0,3,0.164,194
1,0,C7,3,7,30,medium,Nar,60,b-Ala,0,3,0.324,275
1,0,D1,4,1,30,BS01,Nar,0,b-Ala,0,4,0.597,3343
1,0,D2,4,2,30,BS01,Nar,4,b-Ala,0,4,0.572,3299
1,0,D3,4,3,30,BS01,Nar,10,b-Ala,0,4,0.661,3000
1,0,D4,4,4,30,BS01,Nar,20,b-Ala,0,4,0.651,1734
1,0,D5,4,5,30,BS01,Nar,60,b-Ala,0,4,0.682,1126
1,0,D6,4,6,30,medium,Nar,0,b-Ala,0,4,0.156,255
1,0,D7,4,7,30,medium,Nar,60,b-Ala,0,4,0.337,235
1,0,E1,5,1,30,BS01,Nar,0,b-Ala,10,1,0.606,4091
1,0,E2,5,2,30,BS01,Nar,4,b-Ala,10,1,0.69,5442
1,0,E3,5,3,30,BS01,Nar,10,b-Ala,10,1,0.651,5733
1,0,E4,5,4,30,BS01,Nar,20,b-Ala,10,1,0.59,5346
1,0,E5,5,5,30,BS01,Nar,60,b-Ala,10,1,0.813,12128
1,0,E6,5,6,30,medium,Nar,0,b-Ala,10,1,0.693,5314
1,0,E7,5,7,30,medium,Nar,60,b-Ala,10,1,0.326,216
1,0,F1,6,1,30,BS01,Nar,0,b-Ala,10,2,1.002,11123
1,0,F2,6,2,30,BS01,Nar,4,b-Ala,10,2,0.999,9208
1,0,F3,6,3,30,BS01,Nar,10,b-Ala,10,2,1.024,11315
1,0,F4,6,4,30,BS01,Nar,20,b-Ala,10,2,0.961,9651
1,0,F5,6,5,30,BS01,Nar,60,b-Ala,10,2,1.084,9885
1,0,F6,6,6,30,medium,Nar,0,b-Ala,10,2,1.009,10077
1,0,F7,6,7,30,medium,Nar,60,b-Ala,10,2,0.328,243
1,0,G1,7,1,30,BS01,Nar,0,b-Ala,10,3,0.586,4079
1,0,G2,7,2,30,BS01,Nar,4,b-Ala,10,3,0.634,5266
1,0,G3,7,3,30,BS01,Nar,10,b-Ala,10,3,0.607,6009
1,0,G4,7,4,30,BS01,Nar,20,b-Ala,10,3,0.644,6297
1,0,G5,7,5,30,BS01,Nar,60,b-Ala,10,3,0.659,5329
1,0,G6,7,6,30,medium,Nar,0,b-Ala,10,3,0.733,6123
1,0,G7,7,7,30,medium,Nar,60,b-Ala,10,3,0.327,236
1,0,H1,8,1,30,BS01,Nar,0,b-Ala,10,4,0.595,4641
1,0,H2,8,2,30,BS01,Nar,4,b-Ala,10,4,0.758,8930
1,0,H3,8,3,30,BS01,Nar,10,b-Ala,10,4,0.699,11577
1,0,H4,8,4,30,BS01,Nar,20,b-Ala,10,4,0.546,5092
1,0,H5,8,5,30,BS01,Nar,60,b-Ala,10,4,0.738,5495
1,0,H6,8,6,30,medium,Nar,0,b-Ala,10,4,0.687,5362
1,0,H7,8,7,30,medium,Nar,60,b-Ala,10,4,0.309,316
2,0.333333333333333,A1,1,1,30.1,BS01,Nar,0,b-Ala,0,1,0.458,3360
2,0.333333333333333,A2,1,2,30.1,BS01,Nar,4,b-Ala,0,1,0.468,2689
2,0.333333333333333,A3,1,3,30.1,BS01,Nar,10,b-Ala,0,1,0.497,2468
2,0.333333333333333,A4,1,4,30.1,BS01,Nar,20,b-Ala,0,1,0.594,1635
2,0.333333333333333,A5,1,5,30.1,BS01,Nar,60,b-Ala,0,1,0.603,1019
2,0.333333333333333,A6,1,6,30.1,medium,Nar,0,b-Ala,0,1,0.164,236
2,0.333333333333333,A7,1,7,30.1,medium,Nar,60,b-Ala,0,1,0.336,222
2,0.333333333333333,B1,2,1,30.1,BS01,Nar,0,b-Ala,0,2,1.069,10493
2,0.333333333333333,B2,2,2,30.1,BS01,Nar,4,b-Ala,0,2,1.057,8788
2,0.333333333333333,B3,2,3,30.1,BS01,Nar,10,b-Ala,0,2,1.088,6123
2,0.333333333333333,B4,2,4,30.1,BS01,Nar,20,b-Ala,0,2,1.19,8554
2,0.333333333333333,B5,2,5,30.1,BS01,Nar,60,b-Ala,0,2,0.967,4003
2,0.333333333333333,B6,2,6,30.1,medium,Nar,0,b-Ala,0,2,0.152,234
2,0.333333333333333,B7,2,7,30.1,medium,Nar,60,b-Ala,0,2,0.317,242
2,0.333333333333333,C1,3,1,30.1,BS01,Nar,0,b-Ala,0,3,0.401,2621
2,0.333333333333333,C2,3,2,30.1,BS01,Nar,4,b-Ala,0,3,0.589,4001
2,0.333333333333333,C3,3,3,30.1,BS01,Nar,10,b-Ala,0,3,0.615,2481
2,0.333333333333333,C4,3,4,30.1,BS01,Nar,20,b-Ala,0,3,0.637,1728
2,0.333333333333333,C5,3,5,30.1,BS01,Nar,60,b-Ala,0,3,0.603,1116
2,0.333333333333333,C6,3,6,30.1,medium,Nar,0,b-Ala,0,3,0.164,176
2,0.333333333333333,C7,3,7,30.1,medium,Nar,60,b-Ala,0,3,0.323,174
2,0.333333333333333,D1,4,1,30.1,BS01,Nar,0,b-Ala,0,4,0.597,3458
2,0.333333333333333,D2,4,2,30.1,BS01,Nar,4,b-Ala,0,4,0.57,3066
2,0.333333333333333,D3,4,3,30.1,BS01,Nar,10,b-Ala,0,4,0.661,2491
2,0.333333333333333,D4,4,4,30.1,BS01,Nar,20,b-Ala,0,4,0.648,1581
2,0.333333333333333,D5,4,5,30.1,BS01,Nar,60,b-Ala,0,4,0.649,1143
2,0.333333333333333,D6,4,6,30.1,medium,Nar,0,b-Ala,0,4,0.157,186
2,0.333333333333333,D7,4,7,30.1,medium,Nar,60,b-Ala,0,4,0.336,210
2,0.333333333333333,E1,5,1,30.1,BS01,Nar,0,b-Ala,10,1,0.605,4583
2,0.333333333333333,E2,5,2,30.1,BS01,Nar,4,b-Ala,10,1,0.69,5151
2,0.333333333333333,E3,5,3,30.1,BS01,Nar,10,b-Ala,10,1,0.65,6093
2,0.333333333333333,E4,5,4,30.1,BS01,Nar,20,b-Ala,10,1,0.588,5716
2,0.333333333333333,E5,5,5,30.1,BS01,Nar,60,b-Ala,10,1,0.813,12056
2,0.333333333333333,E6,5,6,30.1,medium,Nar,0,b-Ala,10,1,0.691,5287
2,0.333333333333333,E7,5,7,30.1,medium,Nar,60,b-Ala,10,1,0.323,345
2,0.333333333333333,F1,6,1,30.1,BS01,Nar,0,b-Ala,10,2,1.012,10843
2,0.333333333333333,F2,6,2,30.1,BS01,Nar,4,b-Ala,10,2,1.004,9967
2,0.333333333333333,F3,6,3,30.1,BS01,Nar,10,b-Ala,10,2,1.014,10814
2,0.333333333333333,F4,6,4,30.1,BS01,Nar,20,b-Ala,10,2,0.941,9355
2,0.333333333333333,F5,6,5,30.1,BS01,Nar,60,b-Ala,10,2,1.067,9934
2,0.333333333333333,F6,6,6,30.1,medium,Nar,0,b-Ala,10,2,1.01,10087
2,0.333333333333333,F7,6,7,30.1,medium,Nar,60,b-Ala,10,2,0.327,170
