time,sample,well,row,col,strain,inducer_ID,inducer_conc,effector_ID,effector_conc,replicate,OD,FL
0,1,1,1,1,BS01,Nar,0,b-Ala,0,1,0.46,3200
0,1,2,1,2,BS01,Nar,4,b-Ala,0,1,0.469,2490
0,1,3,1,3,BS01,Nar,10,b-Ala,0,1,0.495,2404
0,1,4,1,4,BS01,Nar,20,b-Ala,0,1,0.594,1710
0,1,5,1,5,BS01,Nar,60,b-Ala,0,1,0.602,1094
0,1,6,1,6,medium,Nar,0,b-Ala,0,1,0.166,227
0,1,7,1,7,medium,Nar,60,b-Ala,0,1,0.349,164
0,1,8,2,1,BS01,Nar,0,b-Ala,0,2,1.064,10496
0,1,9,2,2,BS01,Nar,4,b-Ala,0,2,1.056,9200
0,1,10,2,3,BS01,Nar,10,b-Ala,0,2,1.098,5859
0,1,11,2,4,BS01,Nar,20,b-Ala,0,2,1.203,8969
0,1,12,2,5,BS01,Nar,60,b-Ala,0,2,1.033,3659
0,1,13,2,6,medium,Nar,0,b-Ala,0,2,0.155,162
0,1,14,2,7,medium,Nar,60,b-Ala,0,2,0.318,224
0,1,15,3,1,BS01,Nar,0,b-Ala,0,3,0.399,2692
0,1,16,3,2,BS01,Nar,4,b-Ala,0,3,0.601,4132
0,1,17,3,3,BS01,Nar,10,b-Ala,0,3,0.612,2236
0,1,18,3,4,BS01,Nar,20,b-Ala,0,3,0.635,1706
0,1,19,3,5,BS01,Nar,60,b-Ala,0,3,0.621,1211
0,1,20,3,6,medium,Nar,0,b-Ala,0,3,0.164,194
0,1,21,3,7,medium,Nar,60,b-Ala,0,3,0.324,275
0,1,22,4,1,BS01,Nar,0,b-Ala,0,4,0.597,3343
0,1,23,4,2,BS01,Nar,4,b-Ala,0,4,0.572,3299
0,1,24,4,3,BS01,Nar,10,b-Ala,0,4,0.661,3000
0,1,25,4,4,BS01,Nar,20,b-Ala,0,4,0.651,1734
0,1,26,4,5,BS01,Nar,60,b-Ala,0,4,0.682,1126
0,1,27,4,6,medium,Nar,0,b-Ala,0,4,0.156,255
0,1,28,4,7,medium,Nar,60,b-Ala,0,4,0.337,235
0,1,29,5,1,BS01,Nar,0,b-Ala,10,1,0.606,4091
0,1,30,5,2,BS01,Nar,4,b-Ala,10,1,0.69,5442
0,1,31,5,3,BS01,Nar,10,b-Ala,10,1,0.651,5733
0,1,32,5,4,BS01,Nar,20,b-Ala,10,1,0.59,5346
0,1,33,5,5,BS01,Nar,60,b-Ala,10,1,0.813,12128
0,1,34,5,6,medium,Nar,0,b-Ala,10,1,0.693,5314
0,1,35,5,7,medium,Nar,60,b-Ala,10,1,0.326,216
0,1,36,6,1,BS01,Nar,0,b-Ala,10,2,1.002,11123
0,1,37,6,2,BS01,Nar,4,b-Ala,10,2,0.999,9208
0,1,38,6,3,BS01,Nar,10,b-Ala,10,2,1.024,11315
0,1,39,6,4,BS01,Nar,20,b-Ala,10,2,0.961,9651
0,1,40,6,5,BS01,Nar,60,b-Ala,10,2,1.084,9885
0,1,41,6,6,medium,Nar,0,b-Ala,10,2,1.009,10077
0,1,42,6,7,medium,Nar,60,b-Ala,10,2,0.328,243
0,1,43,7,1,BS01,Nar,0,b-Ala,10,3,0.586,4079
0,1,44,7,2,BS01,Nar,4,b-Ala,10,3,0.634,5266
0,1,45,7,3,BS01,Nar,10,b-Ala,10,3,0.607,6009
0,1,46,7,4,BS01,Nar,20,b-Ala,10,3,0.644,6297
0,1,47,7,5,BS01,Nar,60,b-Ala,10,3,0.659,5329
0,1,48,7,6,medium,Nar,0,b-Ala,10,3,0.733,6123
0,1,49,7,7,medium,Nar,60,b-Ala,10,3,0.327,236
0,1,50,8,1,BS01,Nar,0,b-Ala,10,4,0.595,4641
0,1,51,8,2,BS01,Nar,4,b-Ala,10,4,0.758,8930
0,1,52,8,3,BS01,Nar,10,b-Ala,10,4,0.699,11577
0,1,53,8,4,BS01,Nar,20,b-Ala,10,4,0.546,5092
0,1,54,8,5,BS01,Nar,60,b-Ala,10,4,0.738,5495
0,1,55,8,6,medium,Nar,0,b-Ala,10,4,0.687,5362
0,1,56,8,7,medium,Nar,60,b-Ala,10,4,0.309,316
0.333333333333333,2,1,1,1,BS01,Nar,0,b-Ala,0,1,0.458,3360
0.333333333333333,2,2,1,2,BS01,Nar,4,b-Ala,0,1,0.468,2689
