OD,well,sheet,experiment,is_blank,OD_blank,ODc,time_h,ID
0.121,1,3,1,FALSE,0.084,0.037,0,ID_1_1
0.116,2,3,1,FALSE,0.085,0.031,0,ID_1_2
0.121,3,3,1,FALSE,0.083,0.038,0,ID_1_3
0.13,4,3,1,FALSE,0.089,0.041,0,ID_1_4
0.115,5,3,1,FALSE,0.086,0.029,0,ID_1_5
0.124,6,3,1,FALSE,0.086,0.038,0,ID_1_6
0.136,1,4,2,FALSE,0.093,0.043,0,ID_2_1
0.118,2,4,2,FALSE,0.089,0.029,0,ID_2_2
0.119,3,4,2,FALSE,0.082,0.037,0,ID_2_3
0.129,4,4,2,FALSE,0.087,0.042,0,ID_2_4
0.129,5,4,2,FALSE,0.095,0.034,0,ID_2_5
0.13,6,4,2,FALSE,0.091,0.039,0,ID_2_6
0.117,1,5,1,FALSE,0.084,0.033,1,ID_1_1
0.116,2,5,1,FALSE,0.085,0.031,1,ID_1_2
0.115,3,5,1,FALSE,0.083,0.032,1,ID_1_3
0.116,4,5,1,FALSE,0.089,0.027,1,ID_1_4
0.109,5,5,1,FALSE,0.086,0.023,1,ID_1_5
0.129,6,5,1,FALSE,0.086,0.043,1,ID_1_6
0.163,1,6,2,FALSE,0.093,0.07,1,ID_2_1
0.116,2,6,2,FALSE,0.089,0.027,1,ID_2_2
0.123,3,6,2,FALSE,0.082,0.041,1,ID_2_3
0.128,4,6,2,FALSE,0.087,0.041,1,ID_2_4
0.109,5,6,2,FALSE,0.095,0.014,1,ID_2_5
0.118,6,6,2,FALSE,0.091,0.027,1,ID_2_6
0.128,1,7,1,FALSE,0.084,0.044,2,ID_1_1
0.123,2,7,1,FALSE,0.085,0.038,2,ID_1_2
0.134,3,7,1,FALSE,0.083,0.051,2,ID_1_3
0.135,4,7,1,FALSE,0.089,0.046,2,ID_1_4
0.125,5,7,1,FALSE,0.086,0.039,2,ID_1_5
0.134,6,7,1,FALSE,0.086,0.048,2,ID_1_6
0.135,1,8,2,FALSE,0.093,0.042,2,ID_2_1
0.121,2,8,2,FALSE,0.089,0.032,2,ID_2_2
0.123,3,8,2,FALSE,0.082,0.041,2,ID_2_3
0.131,4,8,2,FALSE,0.087,0.044,2,ID_2_4
0.115,5,8,2,FALSE,0.095,0.02,2,ID_2_5
