time,sample,well,row,col,strain,mol_ID,mol_conc,replicate,OD
0,1,1,1,1,W,None,0,1,0.145
0,1,2,1,2,W,3-HP,300,1,0.142
0,1,3,1,3,W,3-HP,200,1,0.158
0,1,4,1,4,W,3-HP,100,1,0.167
0,1,5,1,5,W,3-HP,40,1,0.147
0,1,6,1,6,W,3-HP,20,1,0.145
0,1,7,1,7,medium,None,0,1,0.155
0,1,8,1,8,W,LA,300,1,0.144
0,1,9,1,9,W,LA,200,1,0.14
0,1,10,1,10,W,LA,100,1,0.287
0,1,11,1,11,W,LA,40,1,0.148
0,1,12,1,12,W,LA,20,1,0.146
0,1,13,2,1,W,None,0,2,0.157
0,1,14,2,2,W,3-HP,300,2,0.141
0,1,15,2,3,W,3-HP,200,2,0.151
0,1,16,2,4,W,3-HP,100,2,0.144
0,1,17,2,5,W,3-HP,40,2,0.144
0,1,18,2,6,W,3-HP,20,2,0.145
0,1,19,2,7,medium,None,0,2,0.143
0,1,20,2,8,W,LA,300,2,0.151
0,1,21,2,9,W,LA,200,2,0.147
0,1,22,2,10,W,LA,100,2,0.145
0,1,23,2,11,W,LA,40,2,0.155
0,1,24,2,12,W,LA,20,2,0.149
0,1,25,3,1,W,None,0,3,0.148
0,1,26,3,2,W,3-HP,300,3,0.143
0,1,27,3,3,W,3-HP,200,3,0.147
0,1,28,3,4,W,3-HP,100,3,0.155
0,1,29,3,5,W,3-HP,40,3,0.142
0,1,30,3,6,W,3-HP,20,3,0.137
0,1,31,3,7,medium,None,0,3,0.142
0,1,32,3,8,W,LA,300,3,0.15
0,1,33,3,9,W,LA,200,3,0.157
0,1,34,3,10,W,LA,100,3,0.144
0,1,35,3,11,W,LA,40,3,0.155
0,1,36,3,12,W,LA,20,3,0.156
0,1,37,4,1,W,None,0,4,0.156
0,1,38,4,2,W,3-HP,300,4,0.149
0,1,39,4,3,W,3-HP,200,4,0.142
0,1,40,4,4,W,3-HP,100,4,0.142
0,1,41,4,5,W,3-HP,40,4,0.142
0,1,42,4,6,W,3-HP,20,4,0.146
0,1,43,4,7,medium,None,0,4,0.156
0,1,44,4,8,W,LA,300,4,0.137
0,1,45,4,9,W,LA,200,4,0.147
0,1,46,4,10,W,LA,100,4,0.132
0,1,47,4,11,W,LA,40,4,0.135
0,1,48,4,12,W,LA,20,4,0.154
0,1,49,5,1,MG1655,None,0,1,0.16
0,1,50,5,2,MG1655,3-HP,300,1,0.147
0,1,51,5,3,MG1655,3-HP,200,1,0.146
0,1,52,5,4,MG1655,3-HP,100,1,0.157
0,1,53,5,5,MG1655,3-HP,40,1,0.143
0,1,54,5,6,MG1655,3-HP,20,1,0.145
0,1,55,5,7,medium,3-HP,300,1,0.15
0,1,56,5,8,MG1655,LA,300,1,0.153
0,1,57,5,9,MG1655,LA,200,1,0.15
0,1,58,5,10,MG1655,LA,100,1,0.141
0,1,59,5,11,MG1655,LA,40,1,0.148
0,1,60,5,12,MG1655,LA,20,1,0.146
0,1,61,6,1,MG1655,None,0,2,0.151
0,1,62,6,2,MG1655,3-HP,300,2,0.14
0,1,63,6,3,MG1655,3-HP,200,2,0.145
0,1,64,6,4,MG1655,3-HP,100,2,0.147
