cycle,time,well,row,col,temperature,strain,mol_ID,mol_conc,replicate,OD
1,0,A1,1,1,30,W,None,0,1,0.145
1,0,A2,1,2,30,W,3-HP,300,1,0.142
1,0,A3,1,3,30,W,3-HP,200,1,0.158
1,0,A4,1,4,30,W,3-HP,100,1,0.167
1,0,A5,1,5,30,W,3-HP,40,1,0.147
1,0,A6,1,6,30,W,3-HP,20,1,0.145
1,0,A7,1,7,30,medium,None,0,1,0.155
1,0,A8,1,8,30,W,LA,300,1,0.144
1,0,A9,1,9,30,W,LA,200,1,0.14
1,0,A10,1,10,30,W,LA,100,1,0.287
1,0,A11,1,11,30,W,LA,40,1,0.148
1,0,A12,1,12,30,W,LA,20,1,0.146
1,0,B1,2,1,30,W,None,0,2,0.157
1,0,B2,2,2,30,W,3-HP,300,2,0.141
1,0,B3,2,3,30,W,3-HP,200,2,0.151
1,0,B4,2,4,30,W,3-HP,100,2,0.144
1,0,B5,2,5,30,W,3-HP,40,2,0.144
1,0,B6,2,6,30,W,3-HP,20,2,0.145
1,0,B7,2,7,30,medium,None,0,2,0.143
1,0,B8,2,8,30,W,LA,300,2,0.151
1,0,B9,2,9,30,W,LA,200,2,0.147
1,0,B10,2,10,30,W,LA,100,2,0.145
1,0,B11,2,11,30,W,LA,40,2,0.155
1,0,B12,2,12,30,W,LA,20,2,0.149
1,0,C1,3,1,30,W,None,0,3,0.148
1,0,C2,3,2,30,W,3-HP,300,3,0.143
1,0,C3,3,3,30,W,3-HP,200,3,0.147
1,0,C4,3,4,30,W,3-HP,100,3,0.155
1,0,C5,3,5,30,W,3-HP,40,3,0.142
1,0,C6,3,6,30,W,3-HP,20,3,0.137
1,0,C7,3,7,30,medium,None,0,3,0.142
1,0,C8,3,8,30,W,LA,300,3,0.15
1,0,C9,3,9,30,W,LA,200,3,0.157
1,0,C10,3,10,30,W,LA,100,3,0.144
1,0,C11,3,11,30,W,LA,40,3,0.155
1,0,C12,3,12,30,W,LA,20,3,0.156
1,0,D1,4,1,30,W,None,0,4,0.156
1,0,D2,4,2,30,W,3-HP,300,4,0.149
1,0,D3,4,3,30,W,3-HP,200,4,0.142
1,0,D4,4,4,30,W,3-HP,100,4,0.142
1,0,D5,4,5,30,W,3-HP,40,4,0.142
1,0,D6,4,6,30,W,3-HP,20,4,0.146
1,0,D7,4,7,30,medium,None,0,4,0.156
1,0,D8,4,8,30,W,LA,300,4,0.137
1,0,D9,4,9,30,W,LA,200,4,0.147
1,0,D10,4,10,30,W,LA,100,4,0.132
1,0,D11,4,11,30,W,LA,40,4,0.135
1,0,D12,4,12,30,W,LA,20,4,0.154
1,0,E1,5,1,30,MG1655,None,0,1,0.16
1,0,E2,5,2,30,MG1655,3-HP,300,1,0.147
1,0,E3,5,3,30,MG1655,3-HP,200,1,0.146
1,0,E4,5,4,30,MG1655,3-HP,100,1,0.157
1,0,E5,5,5,30,MG1655,3-HP,40,1,0.143
1,0,E6,5,6,30,MG1655,3-HP,20,1,0.145
1,0,E7,5,7,30,medium,3-HP,300,1,0.15
1,0,E8,5,8,30,MG1655,LA,300,1,0.153
1,0,E9,5,9,30,MG1655,LA,200,1,0.15
1,0,E10,5,10,30,MG1655,LA,100,1,0.141
1,0,E11,5,11,30,MG1655,LA,40,1,0.148
1,0,E12,5,12,30,MG1655,LA,20,1,0.146
1,0,F1,6,1,30,MG1655,None,0,2,0.151
1,0,F2,6,2,30,MG1655,3-HP,300,2,0.14
1,0,F3,6,3,30,MG1655,3-HP,200,2,0.145
1,0,F4,6,4,30,MG1655,3-HP,100,2,0.147
1,0,F5,6,5,30,MG1655,3-HP,40,2,0.154
1,0,F6,6,6,30,MG1655,3-HP,20,2,0.149
1,0,F7,6,7,30,medium,3-HP,300,2,0.136
1,0,F8,6,8,30,MG1655,LA,300,2,0.164
1,0,F9,6,9,30,MG1655,LA,200,2,0.146
1,0,F10,6,10,30,MG1655,LA,100,2,0.143
1,0,F11,6,11,30,MG1655,LA,40,2,0.149
1,0,F12,6,12,30,MG1655,LA,20,2,0.148
1,0,G1,7,1,30,MG1655,None,0,3,0.157
1,0,G2,7,2,30,MG1655,3-HP,300,3,0.146
1,0,G3,7,3,30,MG1655,3-HP,200,3,0.147
1,0,G4,7,4,30,MG1655,3-HP,100,3,0.152
1,0,G5,7,5,30,MG1655,3-HP,40,3,0.157
1,0,G6,7,6,30,MG1655,3-HP,20,3,0.154
1,0,G7,7,7,30,medium,3-HP,300,3,0.153
1,0,G8,7,8,30,MG1655,LA,300,3,0.14
1,0,G9,7,9,30,MG1655,LA,200,3,0.149
1,0,G10,7,10,30,MG1655,LA,100,3,0.151
1,0,G11,7,11,30,MG1655,LA,40,3,0.148
1,0,G12,7,12,30,MG1655,LA,20,3,0.155
1,0,H1,8,1,30,MG1655,None,0,4,0.151
1,0,H2,8,2,30,MG1655,3-HP,300,4,0.155
1,0,H3,8,3,30,MG1655,3-HP,200,4,0.14
1,0,H4,8,4,30,MG1655,3-HP,100,4,0.148
1,0,H5,8,5,30,MG1655,3-HP,40,4,0.159
1,0,H6,8,6,30,MG1655,3-HP,20,4,0.148
1,0,H7,8,7,30,medium,3-HP,300,4,0.15
1,0,H8,8,8,30,MG1655,LA,300,4,0.157
1,0,H9,8,9,30,MG1655,LA,200,4,0.151
1,0,H10,8,10,30,MG1655,LA,100,4,0.14
1,0,H11,8,11,30,MG1655,LA,40,4,0.149
1,0,H12,8,12,30,MG1655,LA,20,4,0.147
2,0.333333333333333,A1,1,1,30,W,None,0,1,0.144
2,0.333333333333333,A2,1,2,30,W,3-HP,300,1,0.141
2,0.333333333333333,A3,1,3,30,W,3-HP,200,1,0.158
2,0.333333333333333,A4,1,4,30,W,3-HP,100,1,0.167
2,0.333333333333333,A5,1,5,30,W,3-HP,40,1,0.147
2,0.333333333333333,A6,1,6,30,W,3-HP,20,1,0.144
2,0.333333333333333,A7,1,7,30,medium,None,0,1,0.154
2,0.333333333333333,A8,1,8,30,W,LA,300,1,0.144
2,0.333333333333333,A9,1,9,30,W,LA,200,1,0.14
2,0.333333333333333,A10,1,10,30,W,LA,100,1,0.289
2,0.333333333333333,A11,1,11,30,W,LA,40,1,0.147
2,0.333333333333333,A12,1,12,30,W,LA,20,1,0.145
2,0.333333333333333,B1,2,1,30,W,None,0,2,0.156
2,0.333333333333333,B2,2,2,30,W,3-HP,300,2,0.141
2,0.333333333333333,B3,2,3,30,W,3-HP,200,2,0.151
2,0.333333333333333,B4,2,4,30,W,3-HP,100,2,0.144
2,0.333333333333333,B5,2,5,30,W,3-HP,40,2,0.144
2,0.333333333333333,B6,2,6,30,W,3-HP,20,2,0.145
2,0.333333333333333,B7,2,7,30,medium,None,0,2,0.142
2,0.333333333333333,B8,2,8,30,W,LA,300,2,0.15
2,0.333333333333333,B9,2,9,30,W,LA,200,2,0.147
2,0.333333333333333,B10,2,10,30,W,LA,100,2,0.144
2,0.333333333333333,B11,2,11,30,W,LA,40,2,0.155
2,0.333333333333333,B12,2,12,30,W,LA,20,2,0.148
2,0.333333333333333,C1,3,1,30,W,None,0,3,0.148
2,0.333333333333333,C2,3,2,30,W,3-HP,300,3,0.143
2,0.333333333333333,C3,3,3,30,W,3-HP,200,3,0.147
2,0.333333333333333,C4,3,4,30,W,3-HP,100,3,0.155
2,0.333333333333333,C5,3,5,30,W,3-HP,40,3,0.141
2,0.333333333333333,C6,3,6,30,W,3-HP,20,3,0.137
2,0.333333333333333,C7,3,7,30,medium,None,0,3,0.141
2,0.333333333333333,C8,3,8,30,W,LA,300,3,0.15
2,0.333333333333333,C9,3,9,30,W,LA,200,3,0.157
2,0.333333333333333,C10,3,10,30,W,LA,100,3,0.144
2,0.333333333333333,C11,3,11,30,W,LA,40,3,0.153
2,0.333333333333333,C12,3,12,30,W,LA,20,3,0.156
2,0.333333333333333,D1,4,1,30,W,None,0,4,0.156
2,0.333333333333333,D2,4,2,30,W,3-HP,300,4,0.148
2,0.333333333333333,D3,4,3,30,W,3-HP,200,4,0.142
2,0.333333333333333,D4,4,4,30,W,3-HP,100,4,0.142
2,0.333333333333333,D5,4,5,30,W,3-HP,40,4,0.141
2,0.333333333333333,D6,4,6,30,W,3-HP,20,4,0.146
2,0.333333333333333,D7,4,7,30,medium,None,0,4,0.156
2,0.333333333333333,D8,4,8,30,W,LA,300,4,0.137
2,0.333333333333333,D9,4,9,30,W,LA,200,4,0.147
2,0.333333333333333,D10,4,10,30,W,LA,100,4,0.132
2,0.333333333333333,D11,4,11,30,W,LA,40,4,0.135
2,0.333333333333333,D12,4,12,30,W,LA,20,4,0.155
2,0.333333333333333,E1,5,1,30,MG1655,None,0,1,0.161
2,0.333333333333333,E2,5,2,30,MG1655,3-HP,300,1,0.147
2,0.333333333333333,E3,5,3,30,MG1655,3-HP,200,1,0.145
2,0.333333333333333,E4,5,4,30,MG1655,3-HP,100,1,0.157
2,0.333333333333333,E5,5,5,30,MG1655,3-HP,40,1,0.143
2,0.333333333333333,E6,5,6,30,MG1655,3-HP,20,1,0.145
2,0.333333333333333,E7,5,7,30,medium,3-HP,300,1,0.149
2,0.333333333333333,E8,5,8,30,MG1655,LA,300,1,0.153
2,0.333333333333333,E9,5,9,30,MG1655,LA,200,1,0.15
2,0.333333333333333,E10,5,10,30,MG1655,LA,100,1,0.141
2,0.333333333333333,E11,5,11,30,MG1655,LA,40,1,0.148
2,0.333333333333333,E12,5,12,30,MG1655,LA,20,1,0.145
2,0.333333333333333,F1,6,1,30,MG1655,None,0,2,0.151
2,0.333333333333333,F2,6,2,30,MG1655,3-HP,300,2,0.14
2,0.333333333333333,F3,6,3,30,MG1655,3-HP,200,2,0.145
2,0.333333333333333,F4,6,4,30,MG1655,3-HP,100,2,0.147
2,0.333333333333333,F5,6,5,30,MG1655,3-HP,40,2,0.154
2,0.333333333333333,F6,6,6,30,MG1655,3-HP,20,2,0.148
2,0.333333333333333,F7,6,7,30,medium,3-HP,300,2,0.136
2,0.333333333333333,F8,6,8,30,MG1655,LA,300,2,0.164
2,0.333333333333333,F9,6,9,30,MG1655,LA,200,2,0.146
2,0.333333333333333,F10,6,10,30,MG1655,LA,100,2,0.142
2,0.333333333333333,F11,6,11,30,MG1655,LA,40,2,0.149
2,0.333333333333333,F12,6,12,30,MG1655,LA,20,2,0.148
2,0.333333333333333,G1,7,1,30,MG1655,None,0,3,0.157
2,0.333333333333333,G2,7,2,30,MG1655,3-HP,300,3,0.146
2,0.333333333333333,G3,7,3,30,MG1655,3-HP,200,3,0.147
2,0.333333333333333,G4,7,4,30,MG1655,3-HP,100,3,0.152
2,0.333333333333333,G5,7,5,30,MG1655,3-HP,40,3,0.158
2,0.333333333333333,G6,7,6,30,MG1655,3-HP,20,3,0.154
